Timestamp (us),X (g),Y (g),Z (g)
3330836920,-0.161558,0.052710,0.900828
3330858368,-0.162168,0.053752,0.950296
3330879815,-0.057451,0.098825,0.902834
3330901263,-0.055939,0.336225,0.948731
3330922709,-0.114416,0.012155,1.249176
3330944157,-0.117894,-0.029906,1.497228
3330965605,-0.065629,0.016787,1.497874
3330987053,-0.115451,-0.034075,1.299357
3331008500,-0.166920,-0.130123,1.200490
3331029948,-0.064034,-0.081924,1.301432
3331051397,0.093560,0.008800,1.205149
3331072844,0.042329,0.008336,1.154321
3331094291,0.043551,0.006252,1.055386
3331115738,0.040818,-0.229064,1.108425
3331137184,0.096376,-0.091996,0.909772
3331158630,0.045518,-0.189087,0.761437
3331180076,0.046739,-0.191171,0.662502
3331201524,0.045518,-0.189087,0.761437
3331222972,0.045704,-0.237400,0.712684
3331244419,0.099005,-0.144478,0.663148
3331265867,0.103519,-0.056187,0.364915
3331287316,0.155784,-0.009494,0.365561
3331308763,0.103705,-0.104501,0.316161
3331330212,0.051388,-0.295093,0.218723
3331351660,0.054255,-0.251990,0.020138
3331373107,0.054120,-0.059777,0.165684
3331394553,0.157244,0.084007,0.314665
3331416002,0.000633,-0.104386,0.263973
3331437449,0.055156,-0.013548,0.115502
3331458896,0.107287,0.225358,0.261694
3331480343,0.158621,0.513619,0.506107
3331501790,0.102452,0.377593,0.754227
3331523236,0.100568,0.236820,0.805837
3331544683,0.049576,0.331942,0.803049
3331566129,0.103353,0.616035,0.849591
3331587575,0.099026,0.479430,1.099072
3331609021,0.098177,0.384887,1.100500
3331630468,0.097939,0.289302,1.052461
3331651915,-0.057399,0.242724,0.999627
3331673362,-0.059707,0.054680,1.051951
3331694809,-0.010733,0.010998,1.251896
3331716256,-0.059894,0.102993,1.100705
3331737702,-0.110513,0.101487,1.000409
3331759149,-0.212550,0.147831,0.898040
3331780595,-0.109665,0.196030,0.998981
3331802041,-0.214010,0.054330,0.948936
3331823487,-0.266886,0.008679,0.997757
3331844933,-0.267311,-0.038592,0.998471
3331866379,-0.014771,0.113878,1.646208
3331887825,-0.320746,0.060698,1.193553
3331909272,-0.266276,0.007637,0.948290
3331930719,-0.161133,0.099982,0.900114
3331952165,-0.160098,0.146211,0.849932
3331973612,-0.160522,0.098940,0.850647
3331995060,-0.108257,0.145633,0.851293
3332016505,-0.161133,0.099982,0.900114
3332037950,-0.160709,0.147253,0.899400
3332059394,-0.160709,0.147253,0.899400
3332080840,-0.108443,0.193946,0.900046
3332102287,-0.161744,0.101024,0.949582
3332123735,-0.161081,0.243880,0.996907
3332145182,-0.161133,0.099982,0.900114
3332166629,-0.162117,0.197651,1.047089
3332188077,-0.160947,0.051668,0.851361
3332209526,-0.264019,0.051783,0.799173
3332230974,-0.109716,0.052132,0.902188
3332252421,-0.109292,0.099403,0.901474
3332273868,-0.108681,0.098361,0.852007
3332295314,-0.213399,0.053288,0.899468
3332316760,-0.162168,0.053752,0.950296
3332338206,-0.160522,0.098940,0.850647
3332359651,-0.161133,0.099982,0.900114
3332381097,-0.109106,0.051090,0.852721
3332402544,-0.160947,0.051668,0.851361
3332423990,-0.162168,0.053752,0.950296
3332445434,-0.162168,0.053752,0.950296
3332466880,-0.110327,0.053174,0.951656
3332488327,-0.160522,0.098940,0.850647
3332509772,-0.160947,0.051668,0.851361
3332531218,-0.109106,0.051090,0.852721
3332552662,-0.161558,0.052710,0.900828
3332574107,-0.160336,0.050626,0.801893
3332595552,-0.108867,0.146675,0.900760
3332616996,-0.057637,0.147139,0.951588
3332638442,-0.161133,0.099982,0.900114
3332659886,-0.161133,0.099982,0.900114
3332681331,-0.160947,0.051668,0.851361
3332702776,-0.161133,0.099982,0.900114
3332724221,-0.160947,0.051668,0.851361
3332745667,-0.109292,0.099403,0.901474
3332767115,-0.213399,0.053288,0.899468
3332788561,-0.161744,0.101024,0.949582
3332810006,-0.160947,0.051668,0.851361
3332831451,-0.109292,0.099403,0.901474
3332852898,-0.161133,0.099982,0.900114
3332874345,-0.109903,0.100445,0.950942
3332895793,-0.161558,0.052710,0.900828
3332917240,-0.161744,0.101024,0.949582
3332938687,-0.213399,0.053288,0.899468
3332960133,-0.160947,0.051668,0.851361
3332981579,-0.160336,0.050626,0.801893
3333003027,-0.160947,0.051668,0.851361
3333024473,-0.108867,0.146675,0.900760
3333045920,-0.160522,0.098940,0.850647
3333067368,-0.161558,0.052710,0.900828
3333088815,-0.108681,0.098361,0.852007
3333110261,-0.161558,0.052710,0.900828
3333131709,-0.109292,0.099403,0.901474
3333153155,-0.161558,0.052710,0.900828
3333174602,-0.213399,0.053288,0.899468
3333196050,-0.160336,0.050626,0.801893
3333217497,-0.161558,0.052710,0.900828
3333238944,-0.108681,0.098361,0.852007
3333260392,-0.161558,0.052710,0.900828
3333281839,-0.161133,0.099982,0.900114
3333303286,-0.160522,0.098940,0.850647
3333324733,-0.109292,0.099403,0.901474
3333346181,-0.160947,0.051668,0.851361
3333367629,-0.161371,0.004397,0.852075
3333389077,-0.109292,0.099403,0.901474
3333410525,-0.109292,0.099403,0.901474
3333431973,-0.109292,0.099403,0.901474
