Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
89268611254,128.340668,-52.233383,-162.513367,-0.758825,-1.359892,-0.107645
89268631310,240.318054,-93.654221,-186.899475,-0.685311,-1.317311,-0.080743
89268651367,309.085388,-129.807205,-209.581482,-0.717129,-1.338062,-0.138029
89268671421,301.800476,-133.726486,-232.716202,-0.781886,-1.275392,-0.121424
89268691478,301.537872,-122.656517,-263.111206,-0.727634,-0.926013,-0.076859
89268711534,498.929688,-160.919388,-322.503876,-0.579726,-0.983301,-0.076731
89268731591,674.705505,-208.616089,-358.699951,-0.522711,-0.998146,-0.092646
89268751647,554.151978,-208.589020,-338.472473,-0.343999,-0.670606,0.168220
89268771705,476.419495,-225.624069,-301.954651,-0.174274,-0.414096,0.346243
89268791762,568.567810,-265.763062,-296.086090,-0.179591,-0.261987,0.201148
89268811818,570.967041,-272.344391,-280.376434,-0.164325,-0.084857,0.051235
89268831875,525.688538,-249.832062,-256.286377,-0.026712,0.082229,-0.067812
89268851930,554.614746,-240.513794,-228.145157,0.088640,0.395152,-0.027990
89268871986,571.554932,-255.646301,-191.617599,0.201082,0.383979,0.033444
89268892043,503.406250,-250.999969,-161.286285,0.146070,0.274696,-0.112412
89268912099,479.676971,-232.092072,-158.679398,0.125025,0.217505,-0.150391
89268932156,453.555420,-231.307892,-157.048538,0.076680,0.231067,-0.012798
89268952213,369.479462,-239.058823,-142.434555,-0.007690,0.496531,-0.311511
89268972270,322.873474,-221.703430,-102.688110,0.000289,0.756747,-0.801451
89268992326,302.459351,-186.989502,-61.799320,0.005738,0.679203,-0.993685
89269012381,191.534348,-124.804123,-35.960896,0.014830,0.556775,-0.861164
89269032438,107.471802,-105.131081,-21.065104,0.023821,0.650199,-0.522248
89269052494,130.307709,-136.059845,-12.795989,-0.030684,0.639958,-0.680325
89269072550,180.224304,-131.132034,-19.515610,-0.073627,0.425459,-1.257066
89269092607,170.688400,-92.948631,-18.708525,0.030176,0.358317,-1.298613
89269112665,110.072693,-73.911018,-10.366282,0.007164,0.308542,-1.157286
89269132721,66.414246,-73.494492,-11.323037,0.021753,0.418028,-1.273894
89269152778,31.828476,-57.833900,-0.515200,0.128750,0.531359,-1.494443
89269172834,-8.123310,-27.381893,12.124349,0.107948,0.415989,-1.419481
89269192889,-2.541120,-21.107603,7.605685,0.104483,0.398323,-1.318188
89269212946,166.371994,-31.618475,4.774529,0.155761,0.614141,-2.253426
89269233002,112.846489,18.098753,6.837091,0.046828,0.027655,-1.547844
89269253058,-99.862091,40.076435,-8.950881,0.190292,0.150599,-1.279526
89269273115,-142.306107,28.714396,-8.852598,0.258024,0.607242,-1.425270
89269293173,-85.238197,32.968628,10.647385,0.280251,0.872083,-1.714770
89269313229,-128.637756,72.229980,40.047024,0.156859,0.667190,-1.628970
89269333286,-196.218842,100.302467,55.437546,0.074889,0.530984,-1.482131
89269353341,-240.017349,116.884430,64.955307,0.069990,0.609054,-1.466125
